ppa_work_id,ppa_source_id,ppa_cluster_id,ppa_work_title,ppa_work_author,ppa_work_year,ppa_source,ppa_collections,recordid,oclc,locnum,author,imprint,datetype,startdate,enddate,imprintdate,place,enumcron,subjects,title
inu.39000005920231,inu.39000005920231,bryanthistory,"A history of English balladry, and other studies,","Bryant, Frank Egbert, 1877-1910",1913,HathiTrust,['Literary'],1371393,565840,PR507.B7,"Bryant, Frank Egbert,",Boston;R. G. Badger;c1913,s,1913,    ,1913,mau,,"History;English ballads and songs;History and criticism;Lessing, Gotthold Ephraim;1729-1781;Laokoon;English language","A history of English balladry, and other studies"
loc.ark:/13960/t09w0z38b,loc.ark:/13960/t09w0z38b,loc.ark:/13960/t09w0z38b,"Special method in language in the eight grades,","McMurry, Charles Alexander, 1857-",1905,HathiTrust,['Literary'],6107277,5289679,LB1576.M33,"McMurry, Charles Alexander,",New York;Macmillan Co.;1905.,s,1905,    ,1905,nyu,,English language;Study and teaching,Special method in language in the eight grades
loc.ark:/13960/t0ht37886,loc.ark:/13960/t0ht37886,gayleyprinciples,"The principles and progress of English poetry,","Gayley, Charles Mills, 1858-1932",1904,HathiTrust,['Literary'],9590882,,PR502.G3,"Gayley, Charles Mills,","New York;The Macmillan company;London;Macmillan & co., ltd.;1904.",s,1904,    ,1904,nyu,,English poetry;History and criticism,The principles and progress of English poetry
loc.ark:/13960/t0ht3hw35,loc.ark:/13960/t0ht3hw35,loc.ark:/13960/t0ht3hw35,English literature.,"Gosse, Edmund, 1849-1928",1901,HathiTrust,['Literary'],11204370,,PR424.G6,"Gosse, Edmund,",Philadelphia;J.B. Lippincott co.;1901.,s,1901,    ,1901,pau,,"Early modern, 1500-1700;English literature;History and criticism",English literature
loc.ark:/13960/t0jt08550,loc.ark:/13960/t0jt08550,phelpsadvance,"The advance of English poetry in the twentieth century,","Phelps, William Lyon, 1865-1943",1918,HathiTrust,['Literary'],9596511,,Microfilm 21070 PR,"Phelps, William Lyon,","New York;Dodd, Mead and company;1918.",s,1918,    ,1918,nyu,,English poetry;20th century;History and criticism. [from old catalog],The advance of English poetry in the twentieth century
loc.ark:/13960/t0qr5d85r,loc.ark:/13960/t0qr5d85r,brooketudor,The Tudor drama;,"Brooke, Tucker, 1883-1946",1911,HathiTrust,['Literary'],1016606,537417,PR651B7,"Brooke, Tucker,",Boston;Houghton Mifflin Co.;1911.,s,1911,    ,1911,mau,,"English drama;Early modern and Elizabethan, 1500-1600;History and criticism",Tudor drama;
loc.ark:/13960/t0sq9bg6w,loc.ark:/13960/t0sq9bg6w,loc.ark:/13960/t0sq9bg6w,Phonics,"Stichter, Katherine",1917,HathiTrust,"['Linguistic', 'Typographically Unique']",9598781,,LB1525.S8 1917,"Stichter, Katherine. [from old catalog]","Washington, Iowa;Press co. print;c1917",s,1917,    ,1917,iau,,Pronunciation;English language;Reading (Elementary),Phonics
loc.ark:/13960/t0tq6gz60,loc.ark:/13960/t0tq6gz60,loc.ark:/13960/t0tq6gz60,"The evolution of technic in Elizabethan tragedy,","Fansler, Harriott Ely",1914,HathiTrust,['Linguistic'],1374362,2744281,PR658.T35F3,"Fansler, Harriott Ely.","Chicago;New York;Row, Peterson and company;c1914",s,1914,    ,1914,ilu,,"English drama (Tragedy);Technique;Early modern and Elizabethan, 1500-1600;History and criticism;Drama;English drama",The evolution of technic in Elizabethan tragedy
loc.ark:/13960/t0vq3ph98,loc.ark:/13960/t0vq3ph98,loc.ark:/13960/t0vq3ph98,Teachers' manual for Hoenshel's two-book course in grammar,"Hoenshel, E. J. (Eli J.), 1846-",1901,HathiTrust,['Linguistic'],9558001,11176125,LB1576.H6,"Hoenshel, E. J.","Topeka, Kan.;Crane & Co.;1901.",s,1901,    ,1901,ksu,,English language;Study and teaching,Teachers' manual for Hoenshel's two-book course in grammar
loc.ark:/13960/t0xp7hp6s-p37,loc.ark:/13960/t0xp7hp6s,loc.ark:/13960/t0xp7hp6s-p37,Surrey's Contribution to English Verse,"Padelford, Frederick M.",1920,HathiTrust,"['Literary', 'Original Bibliography']",1690244,2132305,PR2370.A1 1920,"Surrey, Henry Howard,",Seattle;University of Washington press;1920,s,1920,    ,1920,wau,,IsBiographical,"The poems of Henry Howard, earl of Surrey"
