htid,filename,size_changed,modification_time,rsync_flags
hvd.32044097041644,32044097041644.zip,True,True,>f.st......
hvd.32044097042618,32044097042618.mets.xml,True,True,>f.st......
hvd.32044097042618,32044097042618.zip,True,True,>f.st......
hvd.32044097042790,32044097042790.mets.xml,True,True,>f.st......
hvd.32044097042790,32044097042790.zip,True,True,>f.st......
hvd.32044097042840,32044097042840.mets.xml,True,True,>f.st......
hvd.32044097042840,32044097042840.zip,True,True,>f.st......
hvd.32044097042881,32044097042881.mets.xml,True,True,>f.st......
hvd.32044097042881,32044097042881.zip,True,True,>f.st......
hvd.32044097042923,32044097042923.mets.xml,True,True,>f.st......
hvd.32044097042923,32044097042923.zip,True,True,>f.st......
hvd.32044097042956,32044097042956.mets.xml,True,True,>f.st......
hvd.32044097042956,32044097042956.zip,True,True,>f.st......
hvd.32044097043038,32044097043038.mets.xml,True,True,>f.st......
hvd.32044097043038,32044097043038.zip,True,True,>f.st......
hvd.32044097043665,32044097043665.mets.xml,True,True,>f.st......
hvd.32044097043665,32044097043665.zip,True,True,>f.st......
hvd.32044097056600,32044097056600.mets.xml,True,True,>f.st......
hvd.32044097056600,32044097056600.zip,True,True,>f.st......
hvd.32044097056618,32044097056618.mets.xml,True,True,>f.st......
hvd.32044097056618,32044097056618.zip,True,True,>f.st......
hvd.32044097056832,32044097056832.mets.xml,True,True,>f.st......
hvd.32044097056832,32044097056832.zip,True,True,>f.st......
hvd.32044097057475,32044097057475.mets.xml,True,True,>f.st......
hvd.32044097057475,32044097057475.zip,True,True,>f.st......
hvd.32044097057558,32044097057558.mets.xml,True,True,>f.st......
hvd.32044097057558,32044097057558.zip,True,True,>f.st......
hvd.32044097058416,32044097058416.mets.xml,True,True,>f.st......
hvd.32044097058416,32044097058416.zip,True,True,>f.st......
hvd.32044097058523,32044097058523.mets.xml,True,True,>f.st......
hvd.32044097058523,32044097058523.zip,True,True,>f.st......
hvd.32044097058804,32044097058804.mets.xml,True,True,>f.st......
hvd.32044097058804,32044097058804.zip,True,True,>f.st......
hvd.32044097062368,32044097062368.mets.xml,True,True,>f.st......
hvd.32044097062368,32044097062368.zip,True,True,>f.st......
hvd.32044097062426,32044097062426.mets.xml,True,True,>f.st......
hvd.32044097062426,32044097062426.zip,True,True,>f.st......
hvd.32044097065973,32044097065973.mets.xml,True,True,>f.st......
hvd.32044097065973,32044097065973.zip,True,True,>f.st......
hvd.32044097071468,32044097071468.mets.xml,True,True,>f.st......
hvd.32044097071468,32044097071468.zip,True,True,>f.st......
hvd.32044097071526,32044097071526.mets.xml,True,True,>f.st......
hvd.32044097071526,32044097071526.zip,True,True,>f.st......
hvd.32044097071567,32044097071567.mets.xml,True,True,>f.st......
hvd.32044097071567,32044097071567.zip,True,True,>f.st......
hvd.32044097071591,32044097071591.mets.xml,True,True,>f.st......
hvd.32044097071591,32044097071591.zip,True,True,>f.st......
hvd.32044097071633,32044097071633.mets.xml,True,True,>f.st......
